Unnamed: 0,acc.date,type,reg,operator,fat,location,dmg
728,2019-03-23,Airbus A320-232,ha-lpl,Wizz Air,0.0,Bristol Airport (BRS/EGGD),min
729,2019-03-23,Beechcraft B200 Super King Air,a2-mbm,Major Blue Air,1.0,Matsieng Aerodrome,w/o
730,2019-03-27,Boeing 737-7H4 (WL),n249wn,Southwest Airlines,0.0,"near Nashville International Airport, TN (BNA)",sub
731,2019-03-27,Antonov An-2,cu-a1825,Empresa Nacional de Servicios Aéreos-ENSA,0.0,Alonso de Rojas,sub
732,2019-04-03,Airbus A320-214,g-ezwc,easyJet,0.0,Belfast International Airport (BFS/EGAA),min
733,2019-04-04,McDonnell Douglas MD-88,n977dl,Delta Air Lines,0.0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",sub
734,2019-04-04,de Havilland Canada DHC-8-402Q Dash 8,oe-lgm,Austrian Airlines,0.0,Innsbruck-Kranebitten Airport (INN),sub
735,2019-04-08,British Aerospace 4100 Jetstream 41,hi1038,Sky High Aviation Services,0.0,Dominica Douglas-Charles Airport (DOM),sub
736,2019-04-10,Airbus A321-231 (WL),n114nn,American Airlines,0.0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
737,2019-04-11,Boeing 737-924ER (WL),n31412,United Airlines,0.0,"Fort Myers, FL",non
738,2019-04-13,Rockwell Sabreliner 65,n265ds,Classic Aviation,3.0,"near New Albany, MS",w/o
739,2019-04-14,Let L-410UVP-E20,9n-amh,Summit Air,3.0,Lukla-Tenzing-Hillary Airport (LUA),w/o
740,2019-04-16,Bombardier BD-700-1A11 Global 5000,14+01,Luftwaffe,0.0,Berlin-Schönefeld Airport (SXF/EDDB),sub
741,2019-04-16,Pilatus Britten-Norman BN-2B-27 Islander,cc-cyr,Archipiélagos Servicios Aéreos,6.0,"0,4 km W of Puerto Montt-Marcel Marchant Airport (SCPF)",w/o
742,2019-04-22,Airbus A320-232 (WL),hs-txk,Thai Smile,0.0,"Sung Noen District, Nakhon Ratchasima Province",non
743,2019-04-22,Antonov An-26,ey-322,Asia Airways,0.0,64 km from Khartoum,sub
744,2019-04-23,Cessna 208 Caravan I,n366ta,private,0.0,"Dry Tortugas National Park, FL",sub
745,2019-04-24,Beechcraft B200 Super King Air,c-frmv,Keewatin Air,0.0,"Gillam Airport, MB (YGX)",sub
746,2019-04-24,Cessna 551 Citation II/SP,d-iadv,private,0.0,Siegen-Siegerland Airport (SGE/EDGS),sub
747,2019-04-30,Boeing 737-33A (WL),g-gdfb,Jet2,0.0,East Midlands Airport (EMA),sub
748,2019-04-30,Boeing 737-73S (WL),ei-sev,Ryanair,0.0,East Midlands Airport (EMA/EGNX),sub
749,2019-05-02,Boeing 737-8GJ (WL),hl8021,T'way Air,0.0,115km north of Tokyo/Narita International Airport (NRT/RJAA),non
